"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Wildeshausen","Wildeshausen","52.9000","8.4333","Germany","DE","DEU","Lower Saxony","","21154","1276599018"
"Schramberg","Schramberg","48.2269","8.3842","Germany","DE","DEU","Baden-Württemberg","","21125","1276492911"
"Wipperfürth","Wipperfurth","51.1167","7.4000","Germany","DE","DEU","North Rhine-Westphalia","","21112","1276735297"
"Traunreut","Traunreut","47.9667","12.5833","Germany","DE","DEU","Bavaria","","21102","1276958674"
"Wülfrath","Wulfrath","51.2833","7.0333","Germany","DE","DEU","North Rhine-Westphalia","","21100","1276377418"
"Germersheim","Germersheim","49.2167","8.3667","Germany","DE","DEU","Rhineland-Palatinate","minor","21099","1276963829"
"Groß-Umstadt","Gross-Umstadt","49.8667","8.9333","Germany","DE","DEU","Hesse","","21028","1276232744"
"Zülpich","Zulpich","50.7000","6.6500","Germany","DE","DEU","North Rhine-Westphalia","","21025","1276675318"
"Nördlingen","Nordlingen","48.8511","10.4883","Germany","DE","DEU","Bavaria","","21009","1276160287"
"Mössingen","Mossingen","48.4064","9.0575","Germany","DE","DEU","Baden-Württemberg","","20900","1276236369"
"Senden","Senden","51.8572","7.4828","Germany","DE","DEU","North Rhine-Westphalia","","20895","1276271183"
"Herborn","Herborn","50.6825","8.3061","Germany","DE","DEU","Hesse","","20894","1276002994"
"Luckenwalde","Luckenwalde","52.0833","13.1667","Germany","DE","DEU","Brandenburg","minor","20839","1276376363"
"Bruchköbel","Bruchkobel","50.1833","8.9167","Germany","DE","DEU","Hesse","","20825","1276199010"
"Meinerzhagen","Meinerzhagen","51.1167","7.6333","Germany","DE","DEU","North Rhine-Westphalia","","20812","1276363054"
"Stadtlohn","Stadtlohn","51.9925","6.9150","Germany","DE","DEU","North Rhine-Westphalia","","20807","1276897939"
"Schortens","Schortens","53.5333","7.9500","Germany","DE","DEU","Lower Saxony","","20797","1276002315"
"Wittmund","Wittmund","53.5750","7.7808","Germany","DE","DEU","Lower Saxony","minor","20773","1276497812"
"Hörstel","Horstel","52.2972","7.5861","Germany","DE","DEU","North Rhine-Westphalia","","20766","1276546954"
"Enger","Enger","52.1333","8.5667","Germany","DE","DEU","North Rhine-Westphalia","","20705","1276241559"
"Werdau","Werdau","50.7333","12.3833","Germany","DE","DEU","Saxony","","20702","1276717054"
"Nidderau","Nidderau","50.2500","8.9000","Germany","DE","DEU","Hesse","","20700","1276730067"
"Steinhagen","Steinhagen","52.0050","8.4147","Germany","DE","DEU","North Rhine-Westphalia","","20671","1276279674"
"Schwanewede","Schwanewede","53.2333","8.6000","Germany","DE","DEU","Lower Saxony","","20661","1276874322"
"Bad Waldsee","Bad Waldsee","47.9211","9.7519","Germany","DE","DEU","Baden-Württemberg","","20630","1276818086"
"Bockum","Bockum","51.3333","6.5667","Germany","DE","DEU","North Rhine-Westphalia","","20617","1276162253"
"Schifferstadt","Schifferstadt","49.3833","8.3667","Germany","DE","DEU","Rhineland-Palatinate","","20615","1276776055"
"Dingolfing","Dingolfing","48.6333","12.5000","Germany","DE","DEU","Bavaria","minor","20607","1276764455"
"Neufahrn bei Freising","Neufahrn bei Freising","48.3167","11.6667","Germany","DE","DEU","Bavaria","","20590","1276307498"
"Wachtberg","Wachtberg","50.6167","7.1333","Germany","DE","DEU","North Rhine-Westphalia","","20581","1276189631"
"Fröndenberg","Frondenberg","51.4719","7.7658","Germany","DE","DEU","North Rhine-Westphalia","","20548","1276071190"
"Coswig","Coswig","51.1333","13.5833","Germany","DE","DEU","Saxony","","20512","1276791212"
"Uetze","Uetze","52.4661","10.2039","Germany","DE","DEU","Lower Saxony","","20471","1276620577"
"Dülken","Dulken","51.2522","6.3353","Germany","DE","DEU","North Rhine-Westphalia","","20469","1276245345"
"Greiz","Greiz","50.6547","12.1997","Germany","DE","DEU","Thuringia","minor","20397","1276236041"
"Haßloch","Hassloch","49.3631","8.2558","Germany","DE","DEU","Rhineland-Palatinate","","20387","1276280419"
"Reichenbach/Vogtland","Reichenbach/Vogtland","50.6167","12.3000","Germany","DE","DEU","Saxony","","20371","1276903490"
"Neustrelitz","Neustrelitz","53.3647","13.0636","Germany","DE","DEU","Mecklenburg-Western Pomerania","","20340","1276001058"
"Duderstadt","Duderstadt","51.5125","10.2597","Germany","DE","DEU","Lower Saxony","","20286","1276392919"
